證券代號,交易日,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
2477,2021-12-01,608904,344,19638403,32.25,32.5,32.05,32.2,0.3,32.2,25,32.3,4,3.82
2478,2021-12-01,398002,353,26808364,66.7,67.7,66.6,67.6,0.9,67.4,6,67.6,1,11.99
2480,2021-12-01,106639,174,7668288,71.3,72.1,71.2,72.0,0.8,71.9,2,72.0,1,13.85
2481,2021-12-01,22569634,14023,2500278714,109.0,112.5,108.5,110.5,0.0,110.5,124,111.0,255,21.67
2482,2021-12-01,1008233,305,14468408,13.95,14.75,13.9,14.25,0.3,14.25,16,14.3,10,0.0
2483,2021-12-01,246001,125,5901374,23.9,24.05,23.9,23.95,0.4,23.95,10,24.0,5,20.65
2484,2021-12-01,3815317,2400,155718962,40.05,41.45,39.7,41.3,0.6,41.25,30,41.3,17,21.29
2485,2021-12-01,2425432,1369,51883529,21.5,21.7,21.1,21.65,0.05,21.65,4,21.7,56,0.0
2486,2021-12-01,3931972,2254,215478124,54.7,55.6,54.1,55.1,0.2,55.1,27,55.2,8,42.71
2488,2021-12-01,42139,48,1133439,26.8,27.0,26.8,27.0,0.05,26.95,3,27.0,12,14.59
2489,2021-12-01,4526608,2746,82790018,18.35,18.4,18.1,18.3,0.05,18.3,114,18.35,27,2.31
2491,2021-12-01,316660,163,6769682,21.35,21.75,21.1,21.3,0.15,21.3,6,21.4,2,11.9
2492,2021-12-01,6556430,5102,1146369335,174.5,177.5,173.0,174.5,1.0,174.5,100,175.0,57,9.78
2493,2021-12-01,173122,131,6512373,37.65,38.0,37.4,37.7,0.05,37.7,8,37.8,2,14.17
2495,2021-12-01,597608,305,9000297,14.9,15.3,14.75,15.15,0.2,15.15,1,15.2,10,60.6
2496,2021-12-01,8159,9,403727,49.55,49.6,49.45,49.6,0.05,49.6,2,49.75,1,16.93
2497,2021-12-01,6878560,3713,466651554,66.0,69.1,66.0,68.6,2.2,68.6,11,68.7,23,428.75
2498,2021-12-01,84493775,43293,6759947572,76.8,83.4,75.6,83.4,5.9,83.3,39,83.4,105,0.0
2501,2021-12-01,295372,175,5788873,19.55,19.75,19.4,19.65,0.05,19.6,4,19.65,2,25.86
2504,2021-12-01,1809886,927,48244833,26.6,26.9,26.3,26.75,0.15,26.75,42,26.8,21,11.33
2505,2021-12-01,341468,307,7968815,23.35,23.4,23.15,23.4,0.05,23.35,8,23.4,10,8.67
2506,2021-12-01,19456,26,189954,9.74,9.83,9.74,9.76,0.01,9.75,3,9.78,1,19.52
2509,2021-12-01,124530,137,2292245,18.35,18.5,18.25,18.35,0.0,18.35,11,18.4,2,17.64
2511,2021-12-01,983214,410,13018213,13.2,13.3,13.15,13.25,0.05,13.25,53,13.3,27,13.25
2514,2021-12-01,147717,79,2654657,17.75,18.05,17.75,17.9,0.1,17.85,1,18.05,17,2.95
2515,2021-12-01,1642826,1090,14479667,8.84,8.85,8.77,8.83,0.06,8.83,40,8.84,25,26.76
2516,2021-12-01,429436,144,2596143,6.11,6.11,6.0,6.03,0.02,6.02,26,6.06,7,0.0
2520,2021-12-01,1664618,1129,64093646,38.25,38.65,38.2,38.65,0.15,38.6,25,38.65,46,4.55
2524,2021-12-01,184486,218,7885283,42.3,43.4,42.0,42.9,0.5,42.8,3,43.0,11,10.34
2527,2021-12-01,307683,369,10163553,33.2,33.2,32.7,33.0,0.2,33.0,7,33.05,3,5.37
2528,2021-12-01,42000,15,901550,21.5,21.6,21.4,21.6,0.05,21.5,8,21.65,2,33.75
2530,2021-12-01,1940887,258,28380012,14.4,14.65,14.4,14.65,0.25,14.65,9,14.7,91,0.0
2534,2021-12-01,586938,419,13177644,22.3,22.6,22.2,22.6,0.2,22.5,10,22.6,3,12.7
2535,2021-12-01,293206,214,9280001,31.5,31.95,31.3,31.95,0.3,31.9,6,31.95,8,8.41
2536,2021-12-01,142782,68,3185176,22.25,22.4,22.25,22.35,0.2,22.35,12,22.45,41,74.5
2537,2021-12-01,2847121,750,29787915,10.25,10.6,10.25,10.55,0.25,10.5,49,10.55,41,10.05
2538,2021-12-01,11008298,4140,166523343,15.1,15.8,14.7,14.85,0.2,14.8,237,14.85,58,0.0
2539,2021-12-01,82452,78,2567447,31.1,31.15,31.05,31.15,0.05,31.15,4,31.2,38,23.42
2540,2021-12-01,56213,55,4121372,73.0,74.2,73.0,74.0,0.8,73.8,1,74.0,1,13.43
2542,2021-12-01,2508221,1392,116773917,46.2,46.7,46.0,46.7,0.5,46.65,27,46.7,76,7.71
2543,2021-12-01,10120,22,77110,7.65,7.67,7.59,7.64,0.06,7.6,3,7.64,1,31.83
2545,2021-12-01,130518,124,4820947,36.75,37.15,36.7,36.95,0.15,36.9,4,37.05,6,8.19
2546,2021-12-01,49471,70,2464365,49.65,49.95,49.25,49.95,0.3,49.8,3,49.85,1,7.11
2547,2021-12-01,1683662,726,16928350,9.94,10.25,9.88,10.25,0.31,10.2,7,10.25,193,51.25
2548,2021-12-01,379443,586,35048268,91.4,93.0,91.3,92.0,0.3,92.0,2,92.5,8,11.39
2597,2021-12-01,91158,519,11139314,123.0,123.0,121.5,122.0,0.0,121.5,4,122.0,1,12.7
2601,2021-12-01,6010776,2274,79225524,13.25,13.3,12.95,13.25,0.05,13.25,29,13.3,188,55.21
2603,2021-12-01,97598322,39188,12161840577,125.0,126.0,123.0,124.5,0.0,124.5,292,125.0,1950,3.84
2605,2021-12-01,10722105,4977,305200697,29.3,29.3,28.0,28.65,0.35,28.65,140,28.7,34,73.46
2606,2021-12-01,8768646,5337,477682495,54.2,55.1,53.2,55.0,1.1,54.9,14,55.0,268,13.0
2607,2021-12-01,3435429,1742,99581307,29.3,29.55,28.7,28.95,0.35,28.95,37,29.0,12,37.12
2608,2021-12-01,5256682,3600,244051599,46.3,48.15,44.9,45.1,0.35,45.1,7,45.2,2,15.19
2609,2021-12-01,60402879,27165,6963805824,116.0,117.0,114.0,115.0,0.5,115.0,141,115.5,213,3.35
2610,2021-12-01,293747769,69225,7654643159,25.45,27.0,25.1,27.0,1.0,26.95,712,27.0,2692,41.54
2611,2021-12-01,1056337,617,21168302,20.35,20.35,19.85,20.05,0.2,20.05,5,20.1,12,7.19
2612,2021-12-01,935301,577,53016474,57.0,57.2,55.9,57.0,0.3,57.0,6,57.1,11,14.58
2613,2021-12-01,261603,224,6810075,25.85,26.25,25.6,26.2,0.35,26.1,5,26.2,11,25.44
2614,2021-12-01,4950334,3181,164548249,33.6,33.7,33.0,33.05,0.1,33.05,110,33.1,22,21.74
2615,2021-12-01,15632350,10165,2424278591,156.5,157.5,153.5,154.5,2.0,154.5,260,155.0,50,4.9
2616,2021-12-01,36598,58,1320850,36.0,36.2,35.85,36.15,0.15,36.15,7,36.2,5,11.81
2617,2021-12-01,4062643,2282,151129624,37.5,37.75,36.65,37.75,0.05,37.7,2,37.75,19,14.69
2618,2021-12-01,139988689,37327,3510693746,24.7,25.85,24.2,25.85,0.65,25.8,28,25.85,1549,0.0
2630,2021-12-01,169611,110,3207787,18.55,19.05,18.5,19.05,0.15,19.05,10,19.1,11,39.69
2633,2021-12-01,4259772,2147,126884254,29.5,29.95,29.5,29.9,0.25,29.9,96,29.95,144,31.81
2634,2021-12-01,1056394,692,30781355,29.0,29.3,28.95,29.2,0.2,29.2,19,29.25,8,57.25
2636,2021-12-01,5636197,4627,778400158,137.0,141.0,136.0,138.0,0.5,138.0,47,138.5,23,6.43
2637,2021-12-01,3504939,3007,253807024,73.1,73.1,71.7,72.7,0.4,72.6,8,72.7,25,9.77
2642,2021-12-01,2970661,2220,222730274,76.1,78.7,72.6,73.2,0.7,73.1,34,73.3,1,27.94
2701,2021-12-01,91789,38,1115829,12.05,12.2,12.05,12.2,0.05,12.2,17,12.25,12,45.19
2702,2021-12-01,288493,188,7491319,26.1,26.15,25.8,25.85,0.5,25.85,10,26.1,19,0.0
2704,2021-12-01,187420,121,5580756,29.8,30.05,29.55,29.85,0.2,29.7,2,29.85,1,0.0
2705,2021-12-01,66591,69,1176686,17.8,17.8,17.6,17.65,0.05,17.65,1,17.7,4,0.0
2706,2021-12-01,241482,134,3446903,14.1,14.4,14.1,14.3,0.1,14.3,29,14.35,1,47.67
2707,2021-12-01,186273,231,27605002,149.0,149.0,146.5,149.0,2.0,148.5,9,149.0,5,9.02
2712,2021-12-01,6000,6,222450,37.05,37.3,36.9,37.3,0.1,36.85,1,37.05,1,1243.33
2722,2021-12-01,20043,19,614670,30.15,31.2,30.15,30.75,0.1,30.6,8,30.8,2,1537.5
2723,2021-12-01,306841,365,35648853,115.5,117.0,115.0,116.0,2.5,116.0,50,116.5,5,16.52
2727,2021-12-01,284974,489,39181640,139.0,139.0,136.5,137.5,1.5,137.5,8,138.0,9,0.0
2731,2021-12-01,166769,172,14132097,85.5,85.5,84.3,84.9,0.6,84.9,1,85.4,3,0.0
2739,2021-12-01,22121,22,504148,22.7,23.15,22.65,22.8,0.15,22.75,3,22.8,1,0.0
2748,2021-12-01,59568,64,2395601,40.5,40.5,40.05,40.4,0.1,40.35,3,40.4,1,0.0
2753,2021-12-01,71134,153,8961996,125.5,126.5,125.0,126.5,0.5,126.5,2,127.0,10,13.54
2801,2021-12-01,6671860,1710,110758966,16.45,16.7,16.45,16.65,0.25,16.65,108,16.7,166,21.35
2809,2021-12-01,1473836,705,59348803,40.2,40.7,40.05,40.6,0.35,40.6,8,40.65,5,5.9
2812,2021-12-01,3656017,1619,43702224,11.9,12.0,11.9,12.0,0.1,11.95,2639,12.0,1872,11.22
2816,2021-12-01,43973,45,853023,19.4,19.55,19.35,19.5,0.05,19.45,7,19.5,5,9.2
2820,2021-12-01,1415973,683,24358041,17.1,17.3,17.0,17.25,0.15,17.25,22,17.3,86,12.68
2823,2021-12-01,6548222,1996,199782053,30.45,30.6,30.4,30.55,0.1,30.55,27,30.6,196,5.43
2832,2021-12-01,211372,144,4256980,20.0,20.3,20.0,20.25,0.25,20.15,15,20.25,3,289.29
2834,2021-12-01,17680290,4674,170251214,9.61,9.66,9.6,9.64,0.04,9.63,300,9.64,22,14.61
2836,2021-12-01,311089,123,3599666,11.45,11.65,11.45,11.6,0.15,11.6,9,11.65,32,15.89
2836A,2021-12-01,18231,7,439339,24.1,24.1,24.1,24.1,0.0,24.1,18,24.15,14,0.0
2838,2021-12-01,2013771,935,24824622,12.3,12.4,12.25,12.4,0.25,12.4,4,12.45,185,9.54
2838A,2021-12-01,81000,11,4269000,52.7,52.8,52.7,52.8,0.0,52.7,5,52.8,39,0.0
2841,2021-12-01,1219845,331,5186215,4.39,4.39,4.19,4.19,0.11,4.19,39,4.2,1,0.0
2845,2021-12-01,7962475,1379,83250846,10.45,10.5,10.4,10.5,0.0,10.45,393,10.5,257,15.44
2849,2021-12-01,233599,81,3880762,16.55,16.65,16.55,16.65,0.1,16.65,4,16.7,154,13.11
2850,2021-12-01,68111,71,3237884,47.0,47.9,47.0,47.7,0.7,47.65,1,47.8,4,7.07
2851,2021-12-01,230343,190,6501507,28.15,28.35,28.1,28.35,0.1,28.3,4,28.35,12,9.64
2852,2021-12-01,222112,133,3220125,14.35,14.55,14.35,14.55,0.2,14.5,4,14.55,6,10.1
2855,2021-12-01,1047603,696,24172493,23.05,23.2,22.95,23.15,0.45,23.15,4,23.2,23,6.65
2867,2021-12-01,1846649,768,17070969,9.23,9.3,9.2,9.28,0.02,9.27,9,9.28,4,8.0
2880,2021-12-01,8987101,4157,184231184,20.3,20.6,20.3,20.6,0.4,20.55,28,20.6,379,15.15
2881,2021-12-01,16569331,8771,1222578455,73.1,74.5,73.0,74.1,1.0,74.1,11,74.2,13,6.1
2881A,2021-12-01,50471,26,3176098,62.9,63.0,62.9,63.0,0.0,62.8,181,63.0,9,0.0
2881B,2021-12-01,34297,15,2150749,62.6,62.8,62.6,62.8,0.0,62.6,15,62.8,36,0.0
2881C,2021-12-01,119123,153,7148838,60.0,60.1,60.0,60.0,0.0,60.0,216,60.1,294,0.0
2882,2021-12-01,22545939,8494,1344270991,59.5,60.0,59.1,59.9,0.1,59.8,510,59.9,287,6.63
2882A,2021-12-01,54167,28,3408969,63.0,63.0,62.8,63.0,0.0,62.6,121,63.0,14,0.0
2882B,2021-12-01,42144,19,2641998,62.5,62.8,62.5,62.8,0.0,62.5,5,62.7,5,0.0
2883,2021-12-01,58405219,14576,944131989,16.15,16.25,16.05,16.25,0.15,16.2,2175,16.25,185,7.07
2884,2021-12-01,12216217,6458,334330069,27.0,27.55,26.95,27.55,0.6,27.5,59,27.55,287,18.49
2885,2021-12-01,45488819,8596,1098355144,23.9,24.45,23.9,24.35,0.65,24.3,1589,24.35,422,8.99
2886,2021-12-01,9020626,4507,306962118,33.75,34.2,33.75,34.15,0.05,34.15,48,34.2,656,18.07
2887,2021-12-01,27466171,7199,507232087,18.3,18.65,18.2,18.65,0.05,18.6,323,18.65,1317,11.1
2887E,2021-12-01,12454,11,660170,53.1,53.1,53.0,53.0,0.1,53.0,180,53.1,19,0.0
2887F,2021-12-01,12617,12,654765,51.8,52.0,51.8,52.0,0.1,51.8,148,52.0,19,0.0
2888,2021-12-01,114374112,16199,1206720150,10.55,10.75,10.4,10.65,0.1,10.6,2965,10.65,201,8.32
2888A,2021-12-01,32262,20,1364427,42.35,42.35,42.25,42.3,0.1,42.25,8,42.3,5,0.0
2888B,2021-12-01,20363,26,863785,42.45,42.45,42.35,42.35,0.15,42.35,17,42.4,3,0.0
2889,2021-12-01,2782343,1643,44231376,15.85,15.95,15.85,15.9,0.1,15.9,18,15.95,26,11.95
2890,2021-12-01,18624427,4463,280950545,15.1,15.15,15.0,15.15,0.15,15.1,347,15.15,258,10.82
2891,2021-12-01,26770312,8513,659088149,24.25,24.85,24.2,24.85,0.45,24.8,5,24.85,87,9.34
2891B,2021-12-01,62921,27,3963195,63.0,63.5,62.6,63.0,0.4,62.8,1,63.0,81,0.0
2891C,2021-12-01,10395,23,636176,61.2,61.3,61.1,61.3,0.0,61.0,4,61.2,2,0.0
2892,2021-12-01,14361668,5496,337208717,23.1,23.6,23.1,23.6,0.5,23.6,26,23.65,599,15.32
2897,2021-12-01,1845058,605,14354400,7.78,7.86,7.74,7.86,0.1,7.85,85,7.86,21,14.04
2897A,2021-12-01,103000,14,1040300,10.1,10.1,10.1,10.1,0.05,10.1,20,10.15,145,0.0
2901,2021-12-01,13799,34,345678,25.05,25.1,25.0,25.1,0.05,25.05,1,25.1,2,627.5
2903,2021-12-01,768035,431,16363649,21.05,21.6,21.0,21.5,0.45,21.45,11,21.5,5,18.7
2904,2021-12-01,17043,25,436259,25.55,25.65,25.5,25.55,0.05,25.5,12,25.6,2,17.26
2905,2021-12-01,316016,201,7344502,23.25,23.45,23.1,23.25,0.25,23.25,81,23.3,3,9.45
2906,2021-12-01,447029,136,6914247,15.45,15.6,15.25,15.45,0.05,15.45,26,15.55,21,34.33
2908,2021-12-01,1532094,748,31740340,20.7,21.05,20.5,20.85,0.25,20.85,3,20.9,3,12.79
2910,2021-12-01,7010,8,250448,35.5,36.3,35.5,35.5,0.75,34.65,2,36.3,3,45.51
2911,2021-12-01,233359,198,1930148,8.14,8.33,8.14,8.24,0.1,8.24,1,8.26,3,0.0
2912,2021-12-01,1580258,1654,433971103,271.0,277.5,270.0,276.5,7.5,276.5,12,277.0,46,32.61
2913,2021-12-01,645244,364,12488652,19.25,19.45,19.2,19.4,0.05,19.4,5,19.45,39,970.0
2915,2021-12-01,3063392,2857,304921647,99.0,100.5,98.0,100.0,0.0,99.9,99,100.0,32,3.78
2923,2021-12-01,8000,7,211250,26.15,27.05,26.15,27.05,0.25,26.8,1,27.05,1,27.89
2929,2021-12-01,234499,180,2514476,10.7,10.9,10.6,10.6,0.25,10.6,26,10.8,1,0.0
2936,2021-12-01,10000,7,260050,25.95,26.1,25.95,26.1,0.1,25.9,2,26.1,2,7.61
2939,2021-12-01,13000,9,363300,27.85,28.25,27.7,28.15,0.2,28.0,2,28.15,7,47.71
2945,2021-12-01,1594255,1412,127071251,80.8,81.5,78.2,78.7,5.3,78.7,19,78.8,1,25.89
3002,2021-12-01,256224,97,3057838,11.55,12.1,11.55,12.05,0.45,11.95,2,12.05,5,301.25
3003,2021-12-01,1756823,1321,163675283,92.9,94.2,91.7,93.7,0.4,93.6,21,93.7,9,23.14
3004,2021-12-01,33721,39,1993219,58.4,59.5,58.4,59.3,1.0,59.3,2,59.6,2,0.0
3005,2021-12-01,1149352,820,62280947,53.9,54.5,53.8,54.5,0.6,54.4,1,54.5,33,7.51
3006,2021-12-01,19188998,14139,3168355211,161.0,168.0,159.5,167.5,6.5,167.0,195,167.5,40,11.16
3008,2021-12-01,468812,2467,937605075,2000.0,2010.0,1990.0,2000.0,10.0,2000.0,6,2005.0,11,13.09
3010,2021-12-01,781970,705,70400773,89.4,90.7,89.1,90.4,0.5,90.3,28,90.4,13,8.47
3011,2021-12-01,671449,223,7559717,11.4,11.45,11.05,11.4,0.25,11.4,7,11.45,74,0.0
3013,2021-12-01,476737,231,6669143,14.6,14.6,13.65,13.75,0.05,13.7,16,13.75,13,0.0
3014,2021-12-01,852492,757,88546701,103.0,105.0,102.0,105.0,0.5,104.5,31,105.0,12,10.31
3015,2021-12-01,253524,170,11069124,43.5,43.8,43.2,43.8,0.15,43.75,2,43.8,38,11.87
3016,2021-12-01,3752958,2801,549463135,147.0,149.0,144.0,148.5,2.5,148.0,10,148.5,27,151.53
3017,2021-12-01,9711063,6081,861268767,87.7,89.8,87.2,88.5,0.1,88.5,84,88.6,1,11.57
3018,2021-12-01,70180,138,1166625,16.65,16.65,16.55,16.65,0.3,16.55,7,16.85,3,0.0
3019,2021-12-01,27915324,18681,2784591842,99.1,101.5,97.2,101.5,2.4,101.0,416,101.5,287,23.55
3021,2021-12-01,873704,517,21268498,24.1,24.9,23.75,24.3,0.2,24.3,5,24.35,26,16.76
3022,2021-12-01,787588,744,35597463,43.95,45.75,43.95,45.35,1.45,45.35,2,45.4,1,8.37
3023,2021-12-01,612855,2439,153371378,254.0,254.0,247.5,250.0,4.5,250.0,38,251.0,1,24.9
3024,2021-12-01,417415,186,5615927,13.4,13.55,13.35,13.45,0.0,13.45,36,13.55,31,21.02
3025,2021-12-01,335770,238,7969545,23.6,23.95,23.35,23.8,0.05,23.8,8,23.85,11,103.48
3026,2021-12-01,488659,854,59429496,120.5,122.5,120.5,122.0,1.0,121.5,25,122.0,54,10.19
3027,2021-12-01,833807,416,19253477,23.3,23.45,22.7,23.45,0.1,23.45,1,23.5,20,137.94
3028,2021-12-01,3330094,1909,107528126,31.8,32.7,31.5,32.55,0.85,32.5,14,32.55,2,8.39
3029,2021-12-01,320972,274,14248465,44.05,44.75,44.05,44.6,0.25,44.6,9,44.65,5,11.23
3030,2021-12-01,361485,194,20760402,57.5,57.7,56.9,57.7,0.0,57.7,1,57.8,22,12.74
3031,2021-12-01,2853269,1086,71585603,24.8,25.5,24.6,25.3,0.1,25.25,36,25.3,48,17.45
3032,2021-12-01,77178,64,2421164,31.3,31.45,31.3,31.45,0.05,31.4,11,31.45,2,10.55
3033,2021-12-01,4123040,2446,122108210,29.55,29.85,29.25,29.7,0.0,29.65,59,29.7,6,8.27
3034,2021-12-01,8505990,7661,4059078753,465.5,483.0,465.5,482.5,17.0,482.0,42,482.5,13,9.3
3035,2021-12-01,13594277,11841,2494131080,183.0,188.5,179.0,187.0,1.0,187.0,16,187.5,27,66.31
3036,2021-12-01,3910203,1909,257375220,62.9,67.4,62.7,66.3,2.9,66.2,7,66.3,63,8.71
3036A,2021-12-01,21000,5,1030900,49.1,49.1,49.05,49.1,0.05,49.05,6,49.1,6,0.0
3037,2021-12-01,33173026,23449,7411481814,225.0,226.5,221.0,223.5,4.5,223.5,207,224.0,287,32.07
3038,2021-12-01,200583,153,3820673,19.05,19.1,19.0,19.1,0.1,19.05,6,19.1,27,13.55
3040,2021-12-01,48846,60,1853852,38.0,38.05,37.9,38.0,0.0,38.0,12,38.1,5,15.9
3041,2021-12-01,7096532,3926,243108353,33.15,34.95,33.0,34.8,0.9,34.75,18,34.8,15,0.0
3042,2021-12-01,4142615,3005,432783095,105.0,106.0,103.5,105.5,0.0,105.5,5,106.0,199,11.61
3043,2021-12-01,170023,34,594309,3.46,3.55,3.46,3.51,0.01,3.51,7,3.53,2,0.0
3044,2021-12-01,774138,809,95425313,123.5,124.5,122.0,123.0,2.0,123.0,50,123.5,2,10.49
3045,2021-12-01,3059160,2381,299702029,97.4,98.5,97.3,98.3,1.3,98.2,2,98.3,44,26.07
3046,2021-12-01,1664766,1134,68760485,39.7,43.3,39.7,41.3,0.05,41.25,11,41.3,1,28.48
3047,2021-12-01,503098,242,5587223,11.05,11.2,10.9,11.1,0.05,11.1,4,11.15,8,0.0
